symbol,timeframe,total_candles,upper_wick_count,neutral_wick_count,upper_wick_percentage,neutral_wick_percentage
SAND_USDT:USDT_1m,2h,1854,1593,261,85.92,14.08
SAND_USDT:USDT_1m,4h,1113,925,188,83.11,16.89
SEI_USDT:USDT_1m,1m,145202,78925,66277,54.36,45.64
SEI_USDT:USDT_1m,3m,48648,36066,12582,74.14,25.86
SEI_USDT:USDT_1m,5m,29338,23630,5708,80.54,19.46
SEI_USDT:USDT_1m,15m,10027,8880,1147,88.56,11.44
SEI_USDT:USDT_1m,30m,5199,4714,485,90.67,9.33
SEI_USDT:USDT_1m,1h,2971,2709,262,91.18,8.82
SEI_USDT:USDT_1m,2h,1857,1654,203,89.07,10.93
SEI_USDT:USDT_1m,4h,1114,944,170,84.74,15.26
SHIB_USDT:USDT_1m,1m,145061,87628,57433,60.41,39.59
SHIB_USDT:USDT_1m,3m,48601,37746,10855,77.67,22.33
SHIB_USDT:USDT_1m,5m,29309,24325,4984,82.99,17.01
SHIB_USDT:USDT_1m,15m,10017,8999,1018,89.84,10.16
SHIB_USDT:USDT_1m,30m,5194,4762,432,91.68,8.32
SHIB_USDT:USDT_1m,1h,2968,2711,257,91.34,8.66
SHIB_USDT:USDT_1m,2h,1855,1656,199,89.27,10.73
SHIB_USDT:USDT_1m,4h,1113,948,165,85.18,14.82
SOL_USDT:USDT_1m,1m,145061,114074,30987,78.64,21.36
SOL_USDT:USDT_1m,3m,48601,42906,5695,88.28,11.72
SOL_USDT:USDT_1m,5m,29309,26775,2534,91.35,8.65
SOL_USDT:USDT_1m,15m,10017,9498,519,94.82,5.18
SOL_USDT:USDT_1m,30m,5194,4971,223,95.71,4.29
SOL_USDT:USDT_1m,1h,2968,2850,118,96.02,3.98
SOL_USDT:USDT_1m,2h,1855,1762,93,94.99,5.01
SOL_USDT:USDT_1m,4h,1113,1044,69,93.8,6.2
STEEM_USDT:USDT_1m,1m,20723,9967,10756,48.1,51.9
STEEM_USDT:USDT_1m,3m,6943,4876,2067,70.23,29.77
STEEM_USDT:USDT_1m,5m,4187,3212,975,76.71,23.29
STEEM_USDT:USDT_1m,15m,1431,1227,204,85.74,14.26
STEEM_USDT:USDT_1m,30m,742,646,96,87.06,12.94
STEEM_USDT:USDT_1m,1h,424,372,52,87.74,12.26
