symbol,timeframe,total_candles,upper_wick_count,neutral_wick_count,upper_wick_percentage,neutral_wick_percentage
UNI_USDT:USDT_1m,15m,25459,22675,2784,89.06,10.94
UNI_USDT:USDT_1m,30m,12730,11809,921,92.77,7.23
UNI_USDT:USDT_1m,1h,6365,6050,315,95.05,4.95
UNI_USDT:USDT_1m,2h,3183,3070,113,96.45,3.55
UNI_USDT:USDT_1m,4h,1592,1555,37,97.68,2.32
USUAL_USDT:USDT_1m,1m,18514,11840,6674,63.95,36.05
USUAL_USDT:USDT_1m,3m,6172,4936,1236,79.97,20.03
USUAL_USDT:USDT_1m,5m,3704,3148,556,84.99,15.01
USUAL_USDT:USDT_1m,15m,1235,1137,98,92.06,7.94
USUAL_USDT:USDT_1m,30m,618,585,33,94.66,5.34
USUAL_USDT:USDT_1m,1h,309,302,7,97.73,2.27
USUAL_USDT:USDT_1m,2h,155,153,2,98.71,1.29
USUAL_USDT:USDT_1m,4h,78,77,1,98.72,1.28
UXLINK_USDT:USDT_1m,1m,173984,103666,70318,59.58,40.42
UXLINK_USDT:USDT_1m,3m,57995,44448,13547,76.64,23.36
UXLINK_USDT:USDT_1m,5m,34797,28459,6338,81.79,18.21
UXLINK_USDT:USDT_1m,15m,11600,10466,1134,90.22,9.78
UXLINK_USDT:USDT_1m,30m,5801,5418,383,93.4,6.6
UXLINK_USDT:USDT_1m,1h,2901,2775,126,95.66,4.34
UXLINK_USDT:USDT_1m,2h,1451,1405,46,96.83,3.17
UXLINK_USDT:USDT_1m,4h,726,714,12,98.35,1.65
VELO_USDT:USDT_1m,1m,23085,12186,10899,52.79,47.21
VELO_USDT:USDT_1m,3m,7696,5646,2050,73.36,26.64
VELO_USDT:USDT_1m,5m,4618,3706,912,80.25,19.75
VELO_USDT:USDT_1m,15m,1540,1378,162,89.48,10.52
VELO_USDT:USDT_1m,30m,770,706,64,91.69,8.31
VELO_USDT:USDT_1m,1h,386,365,21,94.56,5.44
VELO_USDT:USDT_1m,2h,194,186,8,95.88,4.12
VELO_USDT:USDT_1m,4h,98,94,4,95.92,4.08
VET_USDT:USDT_1m,1m,380858,180685,200173,47.44,52.56
VET_USDT:USDT_1m,3m,126953,86991,39962,68.52,31.48
VET_USDT:USDT_1m,5m,76172,58097,18075,76.27,23.73
VET_USDT:USDT_1m,15m,25391,21924,3467,86.35,13.65
VET_USDT:USDT_1m,30m,12696,11468,1228,90.33,9.67
VET_USDT:USDT_1m,1h,6348,5922,426,93.29,6.71
VET_USDT:USDT_1m,2h,3174,3031,143,95.49,4.51
VET_USDT:USDT_1m,4h,1587,1550,37,97.67,2.33
VIRTUAL_USDT:USDT_1m,1m,65924,40166,25758,60.93,39.07
VIRTUAL_USDT:USDT_1m,3m,21975,17066,4909,77.66,22.34
VIRTUAL_USDT:USDT_1m,5m,13186,10962,2224,83.13,16.87
VIRTUAL_USDT:USDT_1m,15m,4396,4023,373,91.52,8.48
VIRTUAL_USDT:USDT_1m,30m,2198,2064,134,93.9,6.1
VIRTUAL_USDT:USDT_1m,1h,1099,1045,54,95.09,4.91
VIRTUAL_USDT:USDT_1m,2h,550,527,23,95.82,4.18
VIRTUAL_USDT:USDT_1m,4h,276,267,9,96.74,3.26
WIF_USDT:USDT_1m,1m,310289,209458,100831,67.5,32.5
WIF_USDT:USDT_1m,3m,103430,84451,18979,81.65,18.35
WIF_USDT:USDT_1m,5m,62058,53666,8392,86.48,13.52
WIF_USDT:USDT_1m,15m,20686,19126,1560,92.46,7.54
WIF_USDT:USDT_1m,30m,10343,9802,541,94.77,5.23
WIF_USDT:USDT_1m,1h,5172,4985,187,96.38,3.62
WIF_USDT:USDT_1m,2h,2586,2521,65,97.49,2.51
WIF_USDT:USDT_1m,4h,1293,1275,18,98.61,1.39
WLD_USDT:USDT_1m,1m,382231,217023,165208,56.78,43.22
WLD_USDT:USDT_1m,3m,127411,96260,31151,75.55,24.45
WLD_USDT:USDT_1m,5m,76447,62821,13626,82.18,17.82
WLD_USDT:USDT_1m,15m,25483,22965,2518,90.12,9.88
WLD_USDT:USDT_1m,30m,12742,11882,860,93.25,6.75
WLD_USDT:USDT_1m,1h,6371,6110,261,95.9,4.1
WLD_USDT:USDT_1m,2h,3186,3101,85,97.33,2.67
WLD_USDT:USDT_1m,4h,1593,1563,30,98.12,1.88
XLM_USDT:USDT_1m,1m,381777,167288,214489,43.82,56.18
XLM_USDT:USDT_1m,3m,127259,85927,41332,67.52,32.48
XLM_USDT:USDT_1m,5m,76356,57773,18583,75.66,24.34
XLM_USDT:USDT_1m,15m,25452,21842,3610,85.82,14.18
XLM_USDT:USDT_1m,30m,12726,11414,1312,89.69,10.31
XLM_USDT:USDT_1m,1h,6363,5900,463,92.72,7.28
XLM_USDT:USDT_1m,2h,3182,3042,140,95.6,4.4
XLM_USDT:USDT_1m,4h,1591,1532,59,96.29,3.71
XRP_USDT:USDT_1m,1m,381607,252916,128691,66.28,33.72
XRP_USDT:USDT_1m,3m,127203,102395,24808,80.5,19.5
XRP_USDT:USDT_1m,5m,76322,65123,11199,85.33,14.67
XRP_USDT:USDT_1m,15m,25441,23416,2025,92.04,7.96
XRP_USDT:USDT_1m,30m,12721,12046,675,94.69,5.31
XRP_USDT:USDT_1m,1h,6361,6125,236,96.29,3.71
XRP_USDT:USDT_1m,2h,3181,3102,79,97.52,2.48
XRP_USDT:USDT_1m,4h,1591,1564,27,98.3,1.7
ZEREBRO_USDT:USDT_1m,1m,2110,1120,990,53.08,46.92
ZEREBRO_USDT:USDT_1m,3m,704,518,186,73.58,26.42
